,DataSize,L0_auc,L1_auc,L2_auc,Linf_auc
0,3000.0,0.6511,0.8125,0.8121,0.8062
1,2000.0,0.6818,0.8346,0.8336,0.8238
2,1500.0,0.6955,0.839,0.8396,0.8442
3,1000.0,0.7169,0.8985,0.8994,0.8991
4,500.0,0.7883,0.9194,0.9197,0.9159
5,100.0,0.8511,0.9822,0.9827,0.9827
