,DataSize,L0Distance,L1Distance,L2Distance,LinfDistance,Status
898,1500.0,[3070.],[19.007113],[0.46532446],[0.05645591],Member
899,1500.0,[3072.],[16.118252],[0.38628668],[0.03868702],Member
900,1500.0,[3072.],[29.102654],[0.6953785],[0.06148481],Member
901,1500.0,[3072.],[26.348938],[0.63730544],[0.05588999],Member
902,1500.0,[3072.],[19.460094],[0.47288272],[0.04430756],Member
903,1500.0,[3072.],[19.9521],[0.47707066],[0.03442663],Member
904,1500.0,[3072.],[26.361534],[0.6299507],[0.05856377],Member
905,1500.0,[3072.],[26.05535],[0.62215817],[0.06559148],Member
906,1500.0,[3072.],[11.23768],[0.27883542],[0.02956223],Member
907,1500.0,[3034.],[16.605034],[0.4067932],[0.03602356],Member
908,1500.0,[3072.],[52.390457],[1.2601787],[0.10978505],Member
909,1500.0,[3072.],[10.46268],[0.24988869],[0.01893941],Member
910,1500.0,[3072.],[29.46871],[0.71222544],[0.06978342],Member
911,1500.0,[3071.],[39.432304],[0.93915963],[0.09426746],Member
912,1500.0,[3052.],[36.639122],[0.88170415],[0.07888767],Member
913,1500.0,[3072.],[17.825865],[0.42133656],[0.03428125],Member
914,1500.0,[3072.],[22.679863],[0.53958213],[0.04490785],Member
915,1500.0,[3057.],[39.200657],[0.99370563],[0.09903604],Member
916,1500.0,[3072.],[23.81434],[0.5835864],[0.05910492],Member
917,1500.0,[3072.],[28.334759],[0.6822131],[0.06431183],Member
918,1500.0,[3071.],[30.766872],[0.74195063],[0.07385707],Member
919,1500.0,[3072.],[14.197858],[0.32812813],[0.02491212],Member
920,1500.0,[3028.],[60.258568],[1.4914762],[0.17298597],Member
921,1500.0,[3067.],[36.607597],[0.88617235],[0.08310066],Member
922,1500.0,[3072.],[21.86401],[0.58328503],[0.07734236],Member
923,1500.0,[3071.],[15.097364],[0.36381277],[0.05327764],Member
924,1500.0,[3070.],[39.760033],[0.9470936],[0.09634951],Member
925,1500.0,[3072.],[16.283411],[0.38968328],[0.03384984],Member
926,1500.0,[3070.],[31.179455],[0.7343054],[0.06005898],Member
927,1500.0,[3072.],[15.637892],[0.36629567],[0.03597263],Member
928,1500.0,[3072.],[19.82781],[0.48939258],[0.05533881],Member
929,1500.0,[3072.],[11.540865],[0.27608815],[0.02306709],Member
930,1500.0,[3072.],[17.082588],[0.39878932],[0.0359444],Member
931,1500.0,[3060.],[33.839554],[0.8035205],[0.07885295],Member
932,1500.0,[3070.],[33.50711],[0.8229994],[0.09405851],Member
933,1500.0,[3072.],[32.824795],[0.8157445],[0.10660259],Member
934,1500.0,[3070.],[14.174478],[0.33155844],[0.03281128],Member
935,1500.0,[3071.],[28.163864],[0.6935789],[0.05933711],Member
936,1500.0,[3072.],[43.09306],[1.0264142],[0.09067872],Member
937,1500.0,[3067.],[63.691254],[1.5325637],[0.15619424],Member
938,1500.0,[3072.],[29.856258],[0.7082839],[0.06677389],Member
939,1500.0,[3072.],[62.751045],[1.4597306],[0.1360438],Member
940,1500.0,[2907.],[25.471432],[0.6473953],[0.07164299],Member
941,1500.0,[3072.],[23.443249],[0.5642579],[0.04854506],Member
942,1500.0,[3072.],[16.281876],[0.39579582],[0.03899831],Member
943,1500.0,[3071.],[13.808207],[0.34087357],[0.03418849],Member
944,1500.0,[3062.],[38.958405],[0.9390547],[0.10486609],Member
945,1500.0,[3071.],[21.905922],[0.5485666],[0.06402928],Member
946,1500.0,[3072.],[19.881142],[0.46963555],[0.03612888],Member
947,1500.0,[3072.],[38.142807],[0.9001884],[0.07593092],Member
948,1500.0,[3072.],[14.773412],[0.3573944],[0.0414896],Member
949,1500.0,[3072.],[14.331615],[0.34087965],[0.05891371],Member
950,1500.0,[2997.],[18.28313],[0.4509577],[0.04309866],Member
951,1500.0,[3071.],[18.701515],[0.45160878],[0.04708666],Member
952,1500.0,[3067.],[42.89526],[1.0255716],[0.09274767],Member
953,1500.0,[3071.],[40.828236],[0.97274697],[0.10548266],Member
954,1500.0,[3072.],[28.906069],[0.6943321],[0.06843856],Member
955,1500.0,[3072.],[37.52233],[0.89038825],[0.09220853],Member
956,1500.0,[3072.],[25.058876],[0.6083832],[0.05248266],Member
957,1500.0,[3072.],[19.812859],[0.47937763],[0.05504796],Member
958,1500.0,[3072.],[31.395151],[0.8350821],[0.1290167],Member
959,1500.0,[3072.],[36.1179],[0.8654052],[0.08829145],Member
960,1500.0,[3071.],[50.571198],[1.2099556],[0.1028654],Member
961,1500.0,[3072.],[48.16004],[1.1384349],[0.0880965],Member
962,1500.0,[3072.],[19.463697],[0.47412318],[0.05993107],Member
963,1500.0,[3071.],[41.790695],[0.9852015],[0.07518537],Member
964,1500.0,[3072.],[43.84515],[1.0532275],[0.09676218],Member
965,1500.0,[3072.],[33.283855],[0.7909966],[0.06372613],Member
966,1500.0,[3072.],[50.127388],[1.2030431],[0.10304767],Member
967,1500.0,[3063.],[50.225113],[1.1808636],[0.11443277],Member
968,1500.0,[3072.],[32.487175],[0.78128976],[0.0674057],Member
969,1500.0,[3072.],[26.017418],[0.6232133],[0.06674257],Member
970,1500.0,[3070.],[17.26191],[0.4064562],[0.03155679],Non-member
971,1500.0,[3046.],[0.3531279],[0.00801541],[0.00050166],Non-member
972,1500.0,[3072.],[26.406544],[0.6279766],[0.05887741],Non-member
973,1500.0,[0.],[0.],[0.],[0.],Non-member
974,1500.0,[3069.],[25.639538],[0.61414653],[0.05472799],Non-member
975,1500.0,[0.],[0.],[0.],[0.],Non-member
976,1500.0,[3072.],[39.74712],[0.9650358],[0.08533795],Non-member
977,1500.0,[3072.],[17.540154],[0.42017025],[0.03727686],Non-member
978,1500.0,[0.],[0.],[0.],[0.],Non-member
979,1500.0,[3071.],[10.63097],[0.24796468],[0.02345312],Non-member
980,1500.0,[3072.],[134.99683],[3.280705],[0.30735028],Non-member
981,1500.0,[0.],[0.],[0.],[0.],Non-member
982,1500.0,[0.],[0.],[0.],[0.],Non-member
983,1500.0,[0.],[0.],[0.],[0.],Non-member
984,1500.0,[0.],[0.],[0.],[0.],Non-member
985,1500.0,[3072.],[30.726088],[0.7790609],[0.08029899],Non-member
986,1500.0,[0.],[0.],[0.],[0.],Non-member
987,1500.0,[3067.],[3.6470838],[0.08538315],[0.00817329],Non-member
988,1500.0,[3063.],[7.105423],[0.17263663],[0.01818103],Non-member
989,1500.0,[3072.],[9.810928],[0.23186067],[0.01900661],Non-member
990,1500.0,[3072.],[18.138279],[0.44866076],[0.05548248],Non-member
991,1500.0,[3072.],[26.026249],[0.61970985],[0.0556455],Non-member
992,1500.0,[3067.],[1.4393668],[0.03259506],[0.00246979],Non-member
993,1500.0,[3072.],[1.5185273],[0.03447132],[0.00245434],Non-member
994,1500.0,[3071.],[2.0616324],[0.04780975],[0.0041756],Non-member
995,1500.0,[3072.],[23.560658],[0.5645201],[0.05047294],Non-member
996,1500.0,[3071.],[71.88205],[1.6912006],[0.14553171],Non-member
997,1500.0,[0.],[0.],[0.],[0.],Non-member
998,1500.0,[3072.],[25.448166],[0.6216247],[0.06126744],Non-member
999,1500.0,[3072.],[2.2996285],[0.05361561],[0.00484037],Non-member
1000,1500.0,[3072.],[14.040994],[0.3284156],[0.03001922],Non-member
1001,1500.0,[3072.],[5.2960024],[0.12437452],[0.01042607],Non-member
1002,1500.0,[3072.],[24.720211],[0.59098524],[0.04484299],Non-member
1003,1500.0,[0.],[0.],[0.],[0.],Non-member
1004,1500.0,[3071.],[44.879097],[1.0817881],[0.0934906],Non-member
1005,1500.0,[3072.],[21.8987],[0.51761657],[0.05106097],Non-member
1006,1500.0,[2968.],[28.731853],[0.7144818],[0.06185245],Non-member
1007,1500.0,[3072.],[10.592247],[0.2517001],[0.02088648],Non-member
1008,1500.0,[0.],[0.],[0.],[0.],Non-member
1009,1500.0,[3072.],[39.374115],[0.9348113],[0.07912761],Non-member
1010,1500.0,[3072.],[22.044636],[0.52544165],[0.04917783],Non-member
1011,1500.0,[0.],[0.],[0.],[0.],Non-member
1012,1500.0,[0.],[0.],[0.],[0.],Non-member
1013,1500.0,[3072.],[19.852169],[0.4968775],[0.06010875],Non-member
1014,1500.0,[3072.],[59.607327],[1.4303193],[0.1564216],Non-member
1015,1500.0,[0.],[0.],[0.],[0.],Non-member
1016,1500.0,[3072.],[63.070686],[1.5254891],[0.16816844],Non-member
1017,1500.0,[3072.],[10.169392],[0.25490552],[0.02871144],Non-member
1018,1500.0,[3071.],[9.753897],[0.23119472],[0.01792721],Non-member
1019,1500.0,[0.],[0.],[0.],[0.],Non-member
1020,1500.0,[0.],[0.],[0.],[0.],Non-member
1021,1500.0,[0.],[0.],[0.],[0.],Non-member
1022,1500.0,[3072.],[11.227015],[0.26134077],[0.02298436],Non-member
1023,1500.0,[3072.],[30.715374],[0.7521685],[0.06727424],Non-member
1024,1500.0,[3072.],[11.090225],[0.26460534],[0.02634138],Non-member
1025,1500.0,[3072.],[4.5798483],[0.10475112],[0.00996175],Non-member
1026,1500.0,[3071.],[27.828764],[0.661112],[0.06253487],Non-member
1027,1500.0,[3072.],[38.131546],[0.9080777],[0.07065953],Non-member
1028,1500.0,[0.],[0.],[0.],[0.],Non-member
1029,1500.0,[3072.],[29.228954],[0.6985208],[0.0673979],Non-member
1030,1500.0,[0.],[0.],[0.],[0.],Non-member
1031,1500.0,[3071.],[57.182785],[1.3854952],[0.13422626],Non-member
1032,1500.0,[3072.],[13.7175255],[0.33524132],[0.04058872],Non-member
1033,1500.0,[3072.],[23.370928],[0.5609469],[0.05122846],Non-member
1034,1500.0,[3072.],[5.086498],[0.11986517],[0.01145959],Non-member
1035,1500.0,[3072.],[13.4129925],[0.31884307],[0.02570459],Non-member
1036,1500.0,[0.],[0.],[0.],[0.],Non-member
1037,1500.0,[0.],[0.],[0.],[0.],Non-member
1038,1500.0,[0.],[0.],[0.],[0.],Non-member
1039,1500.0,[0.],[0.],[0.],[0.],Non-member
1040,1500.0,[3065.],[5.233217],[0.12181752],[0.00966188],Non-member
1041,1500.0,[3068.],[27.37881],[0.6640386],[0.07415009],Non-member
1042,1500.0,[0.],[0.],[0.],[0.],Non-member
1043,1500.0,[0.],[0.],[0.],[0.],Non-member
1044,1500.0,[3072.],[4.429158],[0.10520182],[0.01272732],Non-member
1045,1500.0,[3068.],[11.469289],[0.26933458],[0.02252667],Non-member
1046,1500.0,[2981.],[17.526073],[0.43695402],[0.04459828],Non-member
1047,1500.0,[3021.],[7.1826134],[0.17124556],[0.01426971],Non-member
1048,1500.0,[0.],[0.],[0.],[0.],Non-member
1049,1500.0,[0.],[0.],[0.],[0.],Non-member
1050,1500.0,[3061.],[10.927151],[0.27077633],[0.0312489],Non-member
1051,1500.0,[3072.],[21.21025],[0.52290314],[0.04940382],Non-member
1052,1500.0,[0.],[0.],[0.],[0.],Non-member
1053,1500.0,[3068.],[10.24168],[0.24084735],[0.02008808],Non-member
1054,1500.0,[3072.],[1.6523578],[0.03756607],[0.00263613],Non-member
1055,1500.0,[0.],[0.],[0.],[0.],Non-member
1056,1500.0,[3072.],[35.61229],[0.8520762],[0.07381773],Non-member
1057,1500.0,[0.],[0.],[0.],[0.],Non-member
1058,1500.0,[0.],[0.],[0.],[0.],Non-member
1059,1500.0,[0.],[0.],[0.],[0.],Non-member
1060,1500.0,[3072.],[6.887785],[0.16950636],[0.01688153],Non-member
1061,1500.0,[3072.],[19.279783],[0.45916006],[0.03697014],Non-member
1062,1500.0,[3072.],[47.200256],[1.1452647],[0.09800576],Non-member
1063,1500.0,[3072.],[3.9287984],[0.09142132],[0.00847945],Non-member
1064,1500.0,[3072.],[5.026142],[0.11996226],[0.01270664],Non-member
1065,1500.0,[3072.],[19.007154],[0.4667121],[0.05653805],Non-member
1066,1500.0,[0.],[0.],[0.],[0.],Non-member
1067,1500.0,[3072.],[35.59053],[0.84680635],[0.06888133],Non-member
1068,1500.0,[3071.],[9.833265],[0.23594578],[0.0250248],Non-member
1069,1500.0,[3040.],[25.943983],[0.6239091],[0.05885375],Non-member
1070,1500.0,[0.],[0.],[0.],[0.],Non-member
1071,1500.0,[3072.],[15.504443],[0.38636738],[0.05592859],Non-member
1072,1500.0,[3063.],[11.364706],[0.26799098],[0.02766001],Non-member
1073,1500.0,[0.],[0.],[0.],[0.],Non-member
1074,1500.0,[0.],[0.],[0.],[0.],Non-member
1075,1500.0,[0.],[0.],[0.],[0.],Non-member
1076,1500.0,[3072.],[6.80043],[0.15836477],[0.01335275],Non-member
1077,1500.0,[0.],[0.],[0.],[0.],Non-member
1078,1500.0,[3051.],[19.687922],[0.46146235],[0.04262066],Non-member
1079,1500.0,[3069.],[38.41497],[0.98275846],[0.12771335],Non-member
1080,1500.0,[3072.],[12.973219],[0.30676705],[0.02951622],Non-member
1081,1500.0,[3028.],[37.441055],[0.8898775],[0.09004712],Non-member
1082,1500.0,[3065.],[49.37507],[1.202068],[0.14609921],Non-member
1083,1500.0,[3072.],[9.040974],[0.21548396],[0.02135098],Non-member
1084,1500.0,[0.],[0.],[0.],[0.],Non-member
1085,1500.0,[3072.],[12.363345],[0.29421926],[0.02633297],Non-member
1086,1500.0,[3072.],[29.477816],[0.74456143],[0.07595181],Non-member
1087,1500.0,[3072.],[20.56643],[0.48962578],[0.04911405],Non-member
1088,1500.0,[3072.],[14.405755],[0.337861],[0.02504352],Non-member
1089,1500.0,[0.],[0.],[0.],[0.],Non-member
1090,1500.0,[2924.],[14.938594],[0.37465024],[0.03777349],Non-member
1091,1500.0,[3071.],[6.011857],[0.13891186],[0.01095647],Non-member
1092,1500.0,[0.],[0.],[0.],[0.],Non-member
1093,1500.0,[3072.],[6.956469],[0.16321415],[0.01274367],Non-member
1094,1500.0,[3072.],[12.946402],[0.3062259],[0.02630842],Non-member
1095,1500.0,[0.],[0.],[0.],[0.],Non-member
1096,1500.0,[3068.],[6.443864],[0.15232182],[0.01376779],Non-member
1097,1500.0,[3072.],[23.764488],[0.56077313],[0.04956216],Non-member
1098,1500.0,[3067.],[23.950787],[0.57338995],[0.0496268],Non-member
1099,1500.0,[3072.],[19.840687],[0.46707693],[0.04562944],Non-member
1100,1500.0,[0.],[0.],[0.],[0.],Non-member
1101,1500.0,[0.],[0.],[0.],[0.],Non-member
1102,1500.0,[3072.],[1.210618],[0.02792723],[0.00298506],Non-member
1103,1500.0,[3072.],[12.027765],[0.282922],[0.0261241],Non-member
1104,1500.0,[3072.],[6.4471097],[0.15049882],[0.01333466],Non-member
1105,1500.0,[0.],[0.],[0.],[0.],Non-member
1106,1500.0,[3072.],[17.883362],[0.42211556],[0.03800172],Non-member
1107,1500.0,[3072.],[14.198006],[0.3402808],[0.03544372],Non-member
1108,1500.0,[0.],[0.],[0.],[0.],Non-member
1109,1500.0,[3070.],[1.3476033],[0.03113474],[0.0029934],Non-member
1110,1500.0,[0.],[0.],[0.],[0.],Non-member
1111,1500.0,[3072.],[38.033325],[0.9157828],[0.08235294],Non-member
1112,1500.0,[3061.],[14.274739],[0.34181404],[0.03036582],Non-member
1113,1500.0,[0.],[0.],[0.],[0.],Non-member
1114,1500.0,[0.],[0.],[0.],[0.],Non-member
1115,1500.0,[3072.],[2.1843576],[0.04994721],[0.00430495],Non-member
1116,1500.0,[3072.],[23.940983],[0.5627968],[0.04632401],Non-member
1117,1500.0,[3065.],[13.245555],[0.32164222],[0.032435],Non-member
1118,1500.0,[3063.],[17.200962],[0.4182855],[0.03618819],Non-member
1119,1500.0,[0.],[0.],[0.],[0.],Non-member
1120,1500.0,[0.],[0.],[0.],[0.],Non-member
1121,1500.0,[0.],[0.],[0.],[0.],Non-member
1122,1500.0,[3072.],[5.9744263],[0.1436286],[0.01965956],Non-member
1123,1500.0,[3066.],[29.290524],[0.69038165],[0.05283305],Non-member
1124,1500.0,[0.],[0.],[0.],[0.],Non-member
1125,1500.0,[0.],[0.],[0.],[0.],Non-member
1126,1500.0,[3072.],[14.232966],[0.34301117],[0.02930087],Non-member
1127,1500.0,[3068.],[17.014275],[0.3998785],[0.02945369],Non-member
1128,1500.0,[3072.],[3.1569748],[0.07331178],[0.00552368],Non-member
1129,1500.0,[3072.],[4.771308],[0.11172346],[0.0097325],Non-member
1130,1500.0,[3072.],[4.400412],[0.10318099],[0.00945416],Non-member
1131,1500.0,[0.],[0.],[0.],[0.],Non-member
1132,1500.0,[0.],[0.],[0.],[0.],Non-member
1133,1500.0,[3072.],[4.8168135],[0.11097697],[0.0075261],Non-member
1134,1500.0,[3072.],[7.0619154],[0.16443588],[0.01345766],Non-member
1135,1500.0,[0.],[0.],[0.],[0.],Non-member
1136,1500.0,[3059.],[10.102588],[0.24116173],[0.0301875],Non-member
1137,1500.0,[3072.],[12.561174],[0.29284328],[0.021641],Non-member
1138,1500.0,[0.],[0.],[0.],[0.],Non-member
1139,1500.0,[0.],[0.],[0.],[0.],Non-member
1140,1500.0,[0.],[0.],[0.],[0.],Non-member
1141,1500.0,[3072.],[10.699568],[0.253191],[0.0218541],Non-member
1142,1500.0,[3070.],[1.3139715],[0.02999781],[0.00211477],Non-member
1143,1500.0,[0.],[0.],[0.],[0.],Non-member
1144,1500.0,[3070.],[14.492566],[0.34733889],[0.02723583],Non-member
1145,1500.0,[0.],[0.],[0.],[0.],Non-member
1146,1500.0,[0.],[0.],[0.],[0.],Non-member
1147,1500.0,[3070.],[25.23333],[0.61921984],[0.0706718],Non-member
1148,1500.0,[0.],[0.],[0.],[0.],Non-member
1149,1500.0,[3072.],[4.8467484],[0.11269572],[0.0087454],Non-member
1150,1500.0,[3069.],[19.295214],[0.46162418],[0.04852623],Non-member
1151,1500.0,[3072.],[28.84075],[0.6948953],[0.07079333],Non-member
1152,1500.0,[3072.],[42.124954],[0.9995194],[0.09486115],Non-member
1153,1500.0,[3072.],[12.015085],[0.2835851],[0.02562332],Non-member
1154,1500.0,[3072.],[8.093286],[0.19756012],[0.01807749],Non-member
1155,1500.0,[0.],[0.],[0.],[0.],Non-member
1156,1500.0,[3072.],[14.030802],[0.34473866],[0.0345307],Non-member
1157,1500.0,[0.],[0.],[0.],[0.],Non-member
1158,1500.0,[3072.],[28.095348],[0.69473577],[0.06892657],Non-member
1159,1500.0,[0.],[0.],[0.],[0.],Non-member
1160,1500.0,[0.],[0.],[0.],[0.],Non-member
1161,1500.0,[0.],[0.],[0.],[0.],Non-member
1162,1500.0,[3072.],[11.475992],[0.27763027],[0.02841184],Non-member
1163,1500.0,[3069.],[44.54987],[1.0841515],[0.08468878],Non-member
1164,1500.0,[0.],[0.],[0.],[0.],Non-member
1165,1500.0,[3071.],[11.890896],[0.28544986],[0.03369457],Non-member
1166,1500.0,[3072.],[3.091676],[0.07179511],[0.00516427],Non-member
1167,1500.0,[3071.],[12.078949],[0.2861758],[0.0217818],Non-member
1168,1500.0,[3072.],[10.18387],[0.2573671],[0.02687827],Non-member
1169,1500.0,[0.],[0.],[0.],[0.],Non-member
1170,1000.0,[3072.],[22.215445],[0.52464765],[0.03925672],Member
1171,1000.0,[3067.],[31.896587],[0.75446135],[0.06331601],Member
1172,1000.0,[3072.],[25.348347],[0.59663326],[0.04906037],Member
1173,1000.0,[3072.],[27.986164],[0.6595018],[0.05099535],Member
1174,1000.0,[3068.],[33.863117],[0.8307102],[0.07325235],Member
1175,1000.0,[3072.],[18.373117],[0.4424886],[0.04598302],Member
1176,1000.0,[3072.],[20.167995],[0.4680499],[0.03478324],Member
1177,1000.0,[3072.],[36.867523],[0.8818994],[0.09297875],Member
1178,1000.0,[3072.],[24.876482],[0.6063956],[0.06755698],Member
1179,1000.0,[3072.],[25.774784],[0.60508597],[0.04972744],Member
1180,1000.0,[3072.],[36.449165],[0.88930374],[0.08211693],Member
1181,1000.0,[3072.],[34.799583],[0.8310132],[0.09251562],Member
1182,1000.0,[3071.],[28.77691],[0.68569314],[0.05653763],Member
1183,1000.0,[3072.],[45.570236],[1.058208],[0.0734506],Member
1184,1000.0,[3072.],[38.203224],[0.91138357],[0.07298172],Member
1185,1000.0,[3072.],[38.643227],[0.9006725],[0.07347327],Member
1186,1000.0,[3072.],[24.923004],[0.59405816],[0.04748785],Member
1187,1000.0,[3071.],[35.513996],[0.83149904],[0.07223374],Member
1188,1000.0,[3072.],[29.208984],[0.7081507],[0.0613896],Member
1189,1000.0,[3072.],[31.985495],[0.7597159],[0.09071482],Member
1190,1000.0,[3072.],[57.690514],[1.4041079],[0.18435317],Member
1191,1000.0,[3068.],[36.788033],[0.85665977],[0.06426736],Member
1192,1000.0,[3072.],[41.728348],[0.9946693],[0.09751314],Member
1193,1000.0,[3072.],[31.747349],[0.751668],[0.05881677],Member
1194,1000.0,[3072.],[24.788282],[0.58315027],[0.04801887],Member
1195,1000.0,[3072.],[39.719902],[0.9475552],[0.08433342],Member
1196,1000.0,[3072.],[36.842644],[0.91392636],[0.13811696],Member
1197,1000.0,[3070.],[35.613625],[0.84757257],[0.07779647],Member
1198,1000.0,[3072.],[17.79308],[0.41641822],[0.04256815],Member
1199,1000.0,[3072.],[16.198586],[0.3890423],[0.0367204],Member
1200,1000.0,[3072.],[40.599762],[0.9860548],[0.09879327],Member
1201,1000.0,[3072.],[39.05374],[0.9450945],[0.08393672],Member
1202,1000.0,[3072.],[24.821474],[0.597537],[0.05012634],Member
1203,1000.0,[3072.],[29.795004],[0.7551308],[0.13733032],Member
1204,1000.0,[3071.],[33.843388],[0.79893595],[0.05537141],Member
1205,1000.0,[3072.],[25.162079],[0.59500456],[0.05182481],Member
1206,1000.0,[3072.],[30.139898],[0.6969632],[0.05497363],Member
1207,1000.0,[3070.],[22.396477],[0.553034],[0.05451251],Member
1208,1000.0,[3072.],[21.216198],[0.5112582],[0.04969871],Member
1209,1000.0,[3072.],[26.441162],[0.62074435],[0.05608058],Member
1210,1000.0,[2815.],[31.739143],[0.87081784],[0.10908765],Member
1211,1000.0,[3072.],[24.09623],[0.57568854],[0.05444086],Member
1212,1000.0,[3072.],[25.72311],[0.6171536],[0.08357312],Member
1213,1000.0,[3071.],[26.054665],[0.6352236],[0.07271659],Member
1214,1000.0,[3072.],[39.38667],[0.94776344],[0.09338987],Member
1215,1000.0,[3072.],[19.759537],[0.4722048],[0.04593724],Member
1216,1000.0,[3057.],[49.31542],[1.1652931],[0.09712601],Member
1217,1000.0,[3072.],[29.020353],[0.70172614],[0.08755022],Member
1218,1000.0,[3072.],[26.582207],[0.6383267],[0.06026617],Member
1219,1000.0,[3072.],[26.436607],[0.61855537],[0.04539064],Member
1220,1000.0,[3072.],[25.72086],[0.6222236],[0.06325233],Member
1221,1000.0,[3072.],[36.883965],[0.87262124],[0.082057],Member
1222,1000.0,[3069.],[26.67186],[0.6355461],[0.08078568],Member
1223,1000.0,[3072.],[26.34425],[0.6254639],[0.05398607],Member
1224,1000.0,[3072.],[31.005032],[0.7335482],[0.05967349],Member
1225,1000.0,[3072.],[24.233774],[0.5814866],[0.0587676],Member
1226,1000.0,[3072.],[28.708675],[0.6964881],[0.06780925],Member
1227,1000.0,[3061.],[31.162422],[0.7435277],[0.0617888],Member
1228,1000.0,[3065.],[28.964943],[0.6933297],[0.05842152],Member
1229,1000.0,[3072.],[25.685022],[0.6033853],[0.04951265],Member
1230,1000.0,[3072.],[23.496403],[0.54864013],[0.04077443],Member
1231,1000.0,[3072.],[27.800808],[0.66821843],[0.06598014],Member
1232,1000.0,[3072.],[25.773043],[0.6194225],[0.04938629],Member
1233,1000.0,[3046.],[26.596327],[0.63769394],[0.05102968],Member
1234,1000.0,[3072.],[25.730925],[0.603528],[0.05136669],Member
1235,1000.0,[3072.],[24.624575],[0.5869973],[0.05062294],Member
1236,1000.0,[3072.],[57.05226],[1.4156107],[0.17245379],Member
1237,1000.0,[3072.],[21.74425],[0.5282803],[0.05430624],Member
1238,1000.0,[3072.],[32.308956],[0.7686453],[0.08180803],Member
1239,1000.0,[3072.],[28.44177],[0.67403656],[0.06902102],Member
1240,1000.0,[3072.],[27.15063],[0.63563335],[0.05160552],Member
1241,1000.0,[3072.],[40.563786],[1.0033807],[0.08519347],Member
1242,1000.0,[3072.],[35.75376],[0.8485352],[0.07601362],Member
1243,1000.0,[3066.],[32.81386],[0.793729],[0.06991541],Member
1244,1000.0,[3071.],[32.69702],[0.7575114],[0.06625521],Member
1245,1000.0,[3046.],[31.406435],[0.74880797],[0.06377032],Member
1246,1000.0,[3069.],[21.361336],[0.49889857],[0.04127628],Member
1247,1000.0,[3071.],[26.438192],[0.6201049],[0.0511142],Member
1248,1000.0,[3060.],[24.29472],[0.6105011],[0.05523142],Member
1249,1000.0,[3071.],[23.05479],[0.5450727],[0.04664215],Member
1250,1000.0,[3072.],[25.658808],[0.5998317],[0.06687252],Member
1251,1000.0,[3072.],[23.201328],[0.55577826],[0.04574394],Member
1252,1000.0,[3071.],[34.343994],[0.84605414],[0.10578209],Member
1253,1000.0,[3059.],[38.684887],[0.9413968],[0.08703166],Member
1254,1000.0,[3072.],[30.76811],[0.72944486],[0.05989251],Member
1255,1000.0,[3070.],[78.30634],[1.9072655],[0.19988623],Member
1256,1000.0,[3064.],[35.953545],[0.8636999],[0.10628223],Member
1257,1000.0,[3066.],[40.643703],[0.95961136],[0.08015221],Member
1258,1000.0,[3072.],[42.805305],[1.0082662],[0.08149537],Member
1259,1000.0,[3072.],[27.324177],[0.6453785],[0.05768269],Member
1260,1000.0,[3069.],[23.7367],[0.5665205],[0.0455128],Member
1261,1000.0,[3072.],[35.873604],[0.8755066],[0.08182231],Member
1262,1000.0,[3072.],[30.858795],[0.7266467],[0.06317437],Member
1263,1000.0,[3072.],[25.728199],[0.64887285],[0.09166542],Member
1264,1000.0,[3072.],[17.008327],[0.40548405],[0.03530237],Member
1265,1000.0,[3072.],[40.889786],[0.955572],[0.07785696],Member
1266,1000.0,[3072.],[25.108484],[0.5943896],[0.04675867],Member
1267,1000.0,[3072.],[26.311989],[0.62154967],[0.04748237],Member
1268,1000.0,[3072.],[31.832767],[0.76704055],[0.09177536],Member
1269,1000.0,[3069.],[41.368683],[0.98406595],[0.07550541],Member
1270,1000.0,[3072.],[54.98589],[1.3194748],[0.12137574],Member
1271,1000.0,[3072.],[30.766464],[0.7623746],[0.07583249],Member
1272,1000.0,[3050.],[28.750668],[0.72758144],[0.08835763],Member
1273,1000.0,[3072.],[30.811043],[0.726817],[0.05802502],Member
1274,1000.0,[3072.],[29.573927],[0.69936806],[0.05780876],Member
1275,1000.0,[3071.],[29.723486],[0.6942271],[0.05592009],Member
1276,1000.0,[3072.],[26.101463],[0.6103136],[0.05177906],Member
1277,1000.0,[3070.],[30.319454],[0.7240387],[0.08430704],Member
1278,1000.0,[3072.],[25.960897],[0.6219243],[0.05544508],Member
1279,1000.0,[3072.],[24.638905],[0.6010419],[0.06864667],Member
1280,1000.0,[3072.],[19.974531],[0.47041932],[0.04152888],Member
1281,1000.0,[3068.],[26.86686],[0.6434347],[0.06051034],Member
1282,1000.0,[3072.],[30.479837],[0.73631746],[0.08386886],Member
1283,1000.0,[3069.],[45.113754],[1.0640955],[0.09476352],Member
1284,1000.0,[3072.],[41.93976],[1.0140653],[0.10710919],Member
1285,1000.0,[2991.],[35.571465],[0.86854273],[0.08016017],Member
1286,1000.0,[3072.],[21.218828],[0.514431],[0.05709371],Member
1287,1000.0,[3072.],[24.87632],[0.5921293],[0.06204721],Member
1288,1000.0,[3072.],[35.271873],[0.82728463],[0.06573105],Member
1289,1000.0,[3072.],[23.25403],[0.54608005],[0.0463922],Member
1290,1000.0,[3069.],[45.05367],[1.0605015],[0.11672033],Member
1291,1000.0,[3072.],[31.97985],[0.75280213],[0.07424164],Member
1292,1000.0,[3063.],[34.70749],[0.8415596],[0.08184853],Member
1293,1000.0,[3072.],[33.675247],[0.78610826],[0.06060201],Member
1294,1000.0,[3072.],[34.877056],[0.830796],[0.08764508],Member
